url,title,collection,slug
https://datatronic.com.hk/en/%e8%88%aa%e7%a9%ba%e8%88%aa%e5%a4%a9/,Aerospace,pages,en-%e8%88%aa%e7%a9%ba%e8%88%aa%e5%a4%a9
https://datatronic.com.hk/en/%e5%b7%a5%e6%a5%ad%e6%87%89%e7%94%a8/,Industrial Application,pages,en-%e5%b7%a5%e6%a5%ad%e6%87%89%e7%94%a8
https://datatronic.com.hk/en/%e9%80%9a%e8%a8%8a%e6%87%89%e7%94%a8/,Telecommunication Application,pages,en-%e9%80%9a%e8%a8%8a%e6%87%89%e7%94%a8
https://datatronic.com.hk/en/%e6%a4%8d%e5%85%a5%e5%bc%8f%e9%86%ab%e7%99%82%e8%a8%ad%e5%82%99/,High-End Medical Equipment,pages,en-%e6%a4%8d%e5%85%a5%e5%bc%8f%e9%86%ab%e7%99%82%e8%a8%ad%e5%82%99
https://datatronic.com.hk/en/%e6%96%b0%e8%83%bd%e6%ba%90%e9%9b%bb%e5%8b%95%e6%b1%bd%e8%bb%8a/,Electric Vehicle,pages,en-%e6%96%b0%e8%83%bd%e6%ba%90%e9%9b%bb%e5%8b%95%e6%b1%bd%e8%bb%8a
https://datatronic.com.hk/en/%e6%a4%8d%e5%85%a5%e5%bc%8f%e9%86%ab%e7%99%82%e8%a8%ad%e5%82%99-2/,Implantable Medical Device,pages,en-%e6%a4%8d%e5%85%a5%e5%bc%8f%e9%86%ab%e7%99%82%e8%a8%ad%e5%82%99-2
https://datatronic.com.hk/,About Datatronic,pages,home
https://datatronic.com.hk/en/%e5%b1%8f%e8%94%bd%e8%b2%bc%e7%89%87%e9%9b%bb%e6%84%9finductors-shieldedsmt/,"屏蔽貼片電感Inductors, Shielded,SMT - devdatatronic",pages,en-%e5%b1%8f%e8%94%bd%e8%b2%bc%e7%89%87%e9%9b%bb%e6%84%9finductors-shieldedsmt
https://datatronic.com.hk/en/%e5%b1%8f%e8%94%bd%e6%8f%92%e4%bb%b6%e9%9b%bb%e6%84%9finductors-shielded-thru-hole/,"屏蔽插件電感Inductors, Shielded, Thru Hole - devdatatronic",pages,en-%e5%b1%8f%e8%94%bd%e6%8f%92%e4%bb%b6%e9%9b%bb%e6%84%9finductors-shielded-thru-hole
https://datatronic.com.hk/en/%e9%9d%9e%e5%b1%8f%e8%94%bd%e8%b2%bc%e7%89%87%e9%9b%bb%e6%84%9finductors-unshielded-smt/,"非屏蔽貼片電感Inductors, Unshielded, SMT - devdatatronic",pages,en-%e9%9d%9e%e5%b1%8f%e8%94%bd%e8%b2%bc%e7%89%87%e9%9b%bb%e6%84%9finductors-unshielded-smt
https://datatronic.com.hk/en/%e9%9d%9e%e5%b1%8f%e8%94%bd%e6%8f%92%e4%bb%b6%e9%9b%bb%e6%84%9finductors-unshielded-thru-hole/,"非屏蔽插件電感Inductors, Unshielded, Thru-hole - devdatatronic",pages,en-%e9%9d%9e%e5%b1%8f%e8%94%bd%e6%8f%92%e4%bb%b6%e9%9b%bb%e6%84%9finductors-unshielded-thru-hole
https://datatronic.com.hk/en/%e9%80%9a%e4%bf%a1%e8%b2%bc%e7%89%87%e8%ae%8a%e5%a3%93%e5%99%a8transformers-telecom-smt/,"通信貼片變壓器Transformers, Telecom, SMT - devdatatronic",pages,en-%e9%80%9a%e4%bf%a1%e8%b2%bc%e7%89%87%e8%ae%8a%e5%a3%93%e5%99%a8transformers-telecom-smt
https://datatronic.com.hk/en/%e9%80%9a%e4%bf%a1%e6%8f%92%e4%bb%b6%e8%ae%8a%e5%a3%93%e5%99%a8transformers-telecom-thru-hole/,"通信插件變壓器Transformers, Telecom, Thru Hole - devdatatronic",pages,en-%e9%80%9a%e4%bf%a1%e6%8f%92%e4%bb%b6%e8%ae%8a%e5%a3%93%e5%99%a8transformers-telecom-thru-hole
https://datatronic.com.hk/en/%e6%9f%b5%e9%a9%85%e5%8b%95%e8%84%88%e8%a1%9d%e8%b2%bc%e7%89%87%e8%ae%8a%e5%a3%93%e5%99%a8gate-drive-pulse-xfmr-smt/,"柵驅動脈衝貼片變壓器Gate Drive & Pulse XFMR, SMT - devdatatronic",pages,en-%e6%9f%b5%e9%a9%85%e5%8b%95%e8%84%88%e8%a1%9d%e8%b2%bc%e7%89%87%e8%ae%8a%e5%a3%93%e5%99%a8gate-drive-pulse-xfmr-smt
https://datatronic.com.hk/en/%e6%9f%b5%e9%a9%85%e5%8b%95%e8%84%88%e8%a1%9d%e6%8f%92%e4%bb%b6%e8%ae%8a%e5%a3%93%e5%99%a8gate-drive-pulse-xfmrthru-hole/,"柵驅動脈衝插件變壓器Gate Drive & Pulse XFMR,Thru-hole - devdatatronic",pages,en-%e6%9f%b5%e9%a9%85%e5%8b%95%e8%84%88%e8%a1%9d%e6%8f%92%e4%bb%b6%e8%ae%8a%e5%a3%93%e5%99%a8gate-drive-pulse-xfmrthru-hole
