url,current_slug,title,suggested_slug
https://datatronic.com.hk/en/%e8%88%aa%e7%a9%ba%e8%88%aa%e5%a4%a9/,en-%e8%88%aa%e7%a9%ba%e8%88%aa%e5%a4%a9,Aerospace,en-aerospace
https://datatronic.com.hk/en/%e5%b7%a5%e6%a5%ad%e6%87%89%e7%94%a8/,en-%e5%b7%a5%e6%a5%ad%e6%87%89%e7%94%a8,Industrial Application,en-industrial-application
https://datatronic.com.hk/en/%e9%80%9a%e8%a8%8a%e6%87%89%e7%94%a8/,en-%e9%80%9a%e8%a8%8a%e6%87%89%e7%94%a8,Telecommunication Application,en-telecommunication-application
https://datatronic.com.hk/en/%e6%a4%8d%e5%85%a5%e5%bc%8f%e9%86%ab%e7%99%82%e8%a8%ad%e5%82%99/,en-%e6%a4%8d%e5%85%a5%e5%bc%8f%e9%86%ab%e7%99%82%e8%a8%ad%e5%82%99,High-End Medical Equipment,en-high-end-medical-equipment
https://datatronic.com.hk/en/%e6%96%b0%e8%83%bd%e6%ba%90%e9%9b%bb%e5%8b%95%e6%b1%bd%e8%bb%8a/,en-%e6%96%b0%e8%83%bd%e6%ba%90%e9%9b%bb%e5%8b%95%e6%b1%bd%e8%bb%8a,Electric Vehicle,en-electric-vehicle
https://datatronic.com.hk/en/%e6%a4%8d%e5%85%a5%e5%bc%8f%e9%86%ab%e7%99%82%e8%a8%ad%e5%82%99-2/,en-%e6%a4%8d%e5%85%a5%e5%bc%8f%e9%86%ab%e7%99%82%e8%a8%ad%e5%82%99-2,Implantable Medical Device,en-implantable-medical-device
https://datatronic.com.hk/,home,About Datatronic,about-datatronic
https://datatronic.com.hk/en/%e5%b1%8f%e8%94%bd%e8%b2%bc%e7%89%87%e9%9b%bb%e6%84%9finductors-shieldedsmt/,en-%e5%b1%8f%e8%94%bd%e8%b2%bc%e7%89%87%e9%9b%bb%e6%84%9finductors-shieldedsmt,"屏蔽貼片電感Inductors, Shielded,SMT - devdatatronic",en-inductors-shielded-smt-devdatatronic
https://datatronic.com.hk/en/%e5%b1%8f%e8%94%bd%e6%8f%92%e4%bb%b6%e9%9b%bb%e6%84%9finductors-shielded-thru-hole/,en-%e5%b1%8f%e8%94%bd%e6%8f%92%e4%bb%b6%e9%9b%bb%e6%84%9finductors-shielded-thru-hole,"屏蔽插件電感Inductors, Shielded, Thru Hole - devdatatronic",en-inductors-shielded-thru-hole-devdatatronic
https://datatronic.com.hk/en/%e9%9d%9e%e5%b1%8f%e8%94%bd%e8%b2%bc%e7%89%87%e9%9b%bb%e6%84%9finductors-unshielded-smt/,en-%e9%9d%9e%e5%b1%8f%e8%94%bd%e8%b2%bc%e7%89%87%e9%9b%bb%e6%84%9finductors-unshielded-smt,"非屏蔽貼片電感Inductors, Unshielded, SMT - devdatatronic",en-inductors-unshielded-smt-devdatatronic
https://datatronic.com.hk/en/%e9%9d%9e%e5%b1%8f%e8%94%bd%e6%8f%92%e4%bb%b6%e9%9b%bb%e6%84%9finductors-unshielded-thru-hole/,en-%e9%9d%9e%e5%b1%8f%e8%94%bd%e6%8f%92%e4%bb%b6%e9%9b%bb%e6%84%9finductors-unshielded-thru-hole,"非屏蔽插件電感Inductors, Unshielded, Thru-hole - devdatatronic",en-inductors-unshielded-thru-hole-devdatatronic
https://datatronic.com.hk/en/%e9%80%9a%e4%bf%a1%e8%b2%bc%e7%89%87%e8%ae%8a%e5%a3%93%e5%99%a8transformers-telecom-smt/,en-%e9%80%9a%e4%bf%a1%e8%b2%bc%e7%89%87%e8%ae%8a%e5%a3%93%e5%99%a8transformers-telecom-smt,"通信貼片變壓器Transformers, Telecom, SMT - devdatatronic",en-transformers-telecom-smt-devdatatronic
https://datatronic.com.hk/en/%e9%80%9a%e4%bf%a1%e6%8f%92%e4%bb%b6%e8%ae%8a%e5%a3%93%e5%99%a8transformers-telecom-thru-hole/,en-%e9%80%9a%e4%bf%a1%e6%8f%92%e4%bb%b6%e8%ae%8a%e5%a3%93%e5%99%a8transformers-telecom-thru-hole,"通信插件變壓器Transformers, Telecom, Thru Hole - devdatatronic",en-transformers-telecom-thru-hole-devdatatronic
https://datatronic.com.hk/en/%e6%9f%b5%e9%a9%85%e5%8b%95%e8%84%88%e8%a1%9d%e8%b2%bc%e7%89%87%e8%ae%8a%e5%a3%93%e5%99%a8gate-drive-pulse-xfmr-smt/,en-%e6%9f%b5%e9%a9%85%e5%8b%95%e8%84%88%e8%a1%9d%e8%b2%bc%e7%89%87%e8%ae%8a%e5%a3%93%e5%99%a8gate-drive-pulse-xfmr-smt,"柵驅動脈衝貼片變壓器Gate Drive & Pulse XFMR, SMT - devdatatronic",en-gate-drive-pulse-xfmr-smt-devdatatronic
https://datatronic.com.hk/en/%e6%9f%b5%e9%a9%85%e5%8b%95%e8%84%88%e8%a1%9d%e6%8f%92%e4%bb%b6%e8%ae%8a%e5%a3%93%e5%99%a8gate-drive-pulse-xfmrthru-hole/,en-%e6%9f%b5%e9%a9%85%e5%8b%95%e8%84%88%e8%a1%9d%e6%8f%92%e4%bb%b6%e8%ae%8a%e5%a3%93%e5%99%a8gate-drive-pulse-xfmrthru-hole,"柵驅動脈衝插件變壓器Gate Drive & Pulse XFMR,Thru-hole - devdatatronic",en-gate-drive-pulse-xfmr-thru-hole-devdatatronic
https://datatronic.com.hk/en/%e6%b5%81%e9%ab%94%e6%b8%ac%e8%a9%a6fluid/,en-%e6%b5%81%e9%ab%94%e6%b8%ac%e8%a9%a6fluid,流體測試Fluid - devdatatronic,en-fluid-devdatatronic
https://datatronic.com.hk/en/%e9%80%9f%e5%ba%a6%e6%b8%ac%e8%a9%a6speed-sensor/,en-%e9%80%9f%e5%ba%a6%e6%b8%ac%e8%a9%a6speed-sensor,速度測試Speed Sensor - devdatatronic,en-speed-sensor-devdatatronic
https://datatronic.com.hk/en/%e4%bd%8d%e7%bd%ae%e6%b8%ac%e8%a9%a6position/,en-%e4%bd%8d%e7%bd%ae%e6%b8%ac%e8%a9%a6position,位置測試Position - devdatatronic,en-position-devdatatronic
https://datatronic.com.hk/en/%e7%a3%81%e6%87%b8%e6%b5%ae%e7%b7%9a%e5%9c%88maglev-coils/,en-%e7%a3%81%e6%87%b8%e6%b5%ae%e7%b7%9a%e5%9c%88maglev-coils,磁懸浮線圈MagLev Coils - devdatatronic,en-maglev-coils-devdatatronic
https://datatronic.com.hk/en/%e9%9b%bb%e7%a3%81%e7%b7%9a%e5%9c%88solenoids-coils/,en-%e9%9b%bb%e7%a3%81%e7%b7%9a%e5%9c%88solenoids-coils,電磁線圈Solenoids Coils - devdatatronic,en-solenoids-coils-devdatatronic
https://datatronic.com.hk/en/%e9%9b%bb%e6%b5%81%e6%aa%a2%e6%b8%ac%e6%8f%92%e4%bb%b6%e8%ae%8a%e5%a3%93%e5%99%a8transformers-current-sense-thru-hole/,en-%e9%9b%bb%e6%b5%81%e6%aa%a2%e6%b8%ac%e6%8f%92%e4%bb%b6%e8%ae%8a%e5%a3%93%e5%99%a8transformers-current-sense-thru-hole,"電流檢測插件變壓器Transformers, Current Sense, Thru-hole - devdatatronic",en-transformers-current-sense-thru-hole-devdatatronic
https://datatronic.com.hk/en/%e9%9b%bb%e6%b5%81%e6%aa%a2%e6%b8%ac%e8%b2%bc%e7%89%87%e8%ae%8a%e5%a3%93%e5%99%a8transformers-current-sense-smt/,en-%e9%9b%bb%e6%b5%81%e6%aa%a2%e6%b8%ac%e8%b2%bc%e7%89%87%e8%ae%8a%e5%a3%93%e5%99%a8transformers-current-sense-smt,"電流檢測貼片變壓器Transformers, Current Sense, SMT - devdatatronic",en-transformers-current-sense-smt-devdatatronic
https://datatronic.com.hk/en/%e9%ab%98%e9%a0%bb%e8%b2%bc%e7%89%87%e8%ae%8a%e5%a3%93%e5%99%a8inductors-high-frequency-wirewound/,en-%e9%ab%98%e9%a0%bb%e8%b2%bc%e7%89%87%e8%ae%8a%e5%a3%93%e5%99%a8inductors-high-frequency-wirewound,"高頻貼片變壓器Inductors, High Frequency Wirewound - devdatatronic",en-inductors-high-frequency-wirewound-devdatatronic
https://datatronic.com.hk/en/%e7%a9%ba%e8%8a%af%e8%b2%bc%e7%89%87%e8%ae%8a%e5%a3%93%e5%99%a8inductors-air-core/,en-%e7%a9%ba%e8%8a%af%e8%b2%bc%e7%89%87%e8%ae%8a%e5%a3%93%e5%99%a8inductors-air-core,"空芯貼片變壓器Inductors, Air Core - devdatatronic",en-inductors-air-core-devdatatronic
https://datatronic.com.hk/en/%e5%b0%84%e9%a0%bb%e5%af%ac%e5%b8%b6%e8%ae%8a%e5%a3%93%e5%99%a8transformers-rf-wideband/,en-%e5%b0%84%e9%a0%bb%e5%af%ac%e5%b8%b6%e8%ae%8a%e5%a3%93%e5%99%a8transformers-rf-wideband,"射頻寬帶變壓器Transformers, RF, Wideband - devdatatronic",en-transformers-rf-wideband-devdatatronic
